alarm_id,timestamp,cleared_timestamp,network_element_id,technology,region,alarm_type,alarm_code,severity,severity_rank,status,description,duration_minutes,is_active,hour,dayofweek,is_weekend,day_type,shift,alarm_category,duration_band,inter_alarm_gap_min,site_mtbf_hrs,site_mttr_min
ALM01002,2025-01-01 15:16:00,2025-01-01 16:46:00,SITE_A,4G,South,Call Drop Rate High,TC-1353,Major,2,Cleared,CDR exceeds acceptable threshold,90.0,False,15,2,False,weekday,afternoon,Radio,long,,24.59,46.2
ALM01001,2025-01-01 15:23:00,2025-01-01 15:37:00,SITE_A,4G,South,Battery Backup Fail,TC-1255,Critical,1,Cleared,"DC power unit on battery, AC failure",14.0,False,15,2,False,weekday,afternoon,Power,short,7.0,24.59,46.2
ALM01003,2025-01-01 15:25:00,2025-01-01 15:33:00,SITE_A,4G,South,Link Down,TC-6337,Critical,1,Cleared,Backhaul link connectivity lost,8.0,False,15,2,False,weekday,afternoon,Transport,short,2.0,24.59,46.2
ALM01000,2025-01-01 15:34:00,2025-01-01 16:45:00,SITE_A,4G,South,High Interference,TC-4899,Major,2,Cleared,RTWP > -90 dBm detected on cell,71.0,False,15,2,False,weekday,afternoon,Radio,long,9.0,24.59,46.2
ALM01006,2025-01-03 14:35:00,2025-01-03 15:50:00,SITE_A,4G,South,High Interference,TC-4899,Major,2,Cleared,RTWP > -90 dBm detected on cell,75.0,False,14,4,False,weekday,afternoon,Radio,long,2821.0,24.59,46.2
ALM01004,2025-01-03 14:46:00,2025-01-03 15:24:00,SITE_A,4G,South,Battery Backup Fail,TC-1255,Critical,1,Cleared,"DC power unit on battery, AC failure",38.0,False,14,4,False,weekday,afternoon,Power,medium,11.0,24.59,46.2
ALM01005,2025-01-03 14:46:00,2025-01-03 15:31:00,SITE_A,4G,South,SW Process Restart,TC-5334,Warning,4,Cleared,Software process restarted unexpectedly,45.0,False,14,4,False,weekday,afternoon,Software,medium,0.0,24.59,46.2
ALM01007,2025-01-07 08:16:00,2025-01-07 08:50:00,SITE_A,4G,South,High Latency,TC-8401,Minor,3,Cleared,Round-trip latency exceeded 50ms,34.0,False,8,1,False,weekday,morning,Transport,medium,5370.0,24.59,46.2
ALM01009,2025-01-07 08:23:00,2025-01-07 09:23:00,SITE_A,4G,South,Fan Unit Failure,TC-5247,Warning,4,Cleared,Cooling fan unit malfunction,60.0,False,8,1,False,weekday,morning,Hardware,medium,7.0,24.59,46.2
ALM01008,2025-01-07 08:30:00,2025-01-07 09:39:00,SITE_A,4G,South,HO Failure Rate High,TC-7154,Major,2,Cleared,Handover failure rate above threshold,69.0,False,8,1,False,weekday,morning,Radio,long,7.0,24.59,46.2
