network_element_id,metric,start,end,duration_periods,duration_hours,worst_value,mean_value,threshold,breach_direction
SITE_I,throughput_mbps,2025-01-15 01:30:00,2025-01-15 03:30:00,9,2.25,24.86,32.1744,10.0,below
SITE_C,throughput_mbps,2025-01-18 05:15:00,2025-01-18 06:15:00,5,1.25,26.84,28.534,10.0,below
SITE_E,throughput_mbps,2025-01-11 23:30:00,2025-01-12 00:30:00,5,1.25,5.01,6.656,10.0,below
SITE_C,throughput_mbps,2025-01-23 07:00:00,2025-01-23 07:45:00,4,1.0,30.2,32.7825,10.0,below
SITE_C,availability_pct,2025-01-12 15:00:00,2025-01-12 22:15:00,30,7.5,91.351,93.1884,99.5,below
SITE_K,availability_pct,2025-01-14 14:00:00,2025-01-14 20:45:00,28,7.0,91.175,92.6982,99.5,below
SITE_F,availability_pct,2025-01-22 15:30:00,2025-01-22 22:15:00,28,7.0,91.41,92.7956,99.5,below
SITE_A,availability_pct,2025-01-03 13:45:00,2025-01-03 20:30:00,28,7.0,91.606,92.8175,99.5,below
SITE_C,availability_pct,2025-01-04 13:00:00,2025-01-04 19:00:00,25,6.25,91.469,91.9653,99.5,below
SITE_K,availability_pct,2025-01-08 14:30:00,2025-01-08 20:30:00,25,6.25,91.323,91.9983,99.5,below
SITE_C,availability_pct,2025-01-23 07:00:00,2025-01-23 13:00:00,25,6.25,91.528,92.089,99.5,below
SITE_K,availability_pct,2025-01-27 05:45:00,2025-01-27 11:30:00,24,6.0,91.328,92.9932,99.5,below
SITE_E,availability_pct,2025-01-11 20:15:00,2025-01-12 01:45:00,23,5.75,91.363,92.6648,99.5,below
SITE_H,availability_pct,2025-01-12 17:15:00,2025-01-12 22:30:00,22,5.5,91.479,92.247,99.5,below
SITE_D,availability_pct,2025-01-05 15:30:00,2025-01-05 20:45:00,22,5.5,91.348,92.2787,99.5,below
SITE_A,availability_pct,2025-01-10 17:45:00,2025-01-10 23:00:00,22,5.5,91.516,92.277,99.5,below
SITE_A,availability_pct,2025-01-01 15:15:00,2025-01-01 20:30:00,22,5.5,91.385,92.2234,99.5,below
SITE_C,availability_pct,2025-01-17 12:00:00,2025-01-17 17:15:00,22,5.5,91.429,92.3956,99.5,below
SITE_F,availability_pct,2025-01-15 09:15:00,2025-01-15 14:30:00,22,5.5,91.656,92.356,99.5,below
SITE_H,availability_pct,2025-01-21 21:00:00,2025-01-22 02:00:00,21,5.25,91.59,92.0817,99.5,below
SITE_K,availability_pct,2025-01-20 00:30:00,2025-01-20 05:15:00,20,5.0,91.522,93.0102,99.5,below
SITE_G,availability_pct,2025-01-24 18:15:00,2025-01-24 23:00:00,20,5.0,91.444,93.1517,99.5,below
SITE_D,availability_pct,2025-01-26 21:15:00,2025-01-27 02:00:00,20,5.0,91.466,97.3176,99.5,below
SITE_D,availability_pct,2025-01-03 04:45:00,2025-01-03 09:30:00,20,5.0,91.519,93.0456,99.5,below
SITE_C,availability_pct,2025-01-20 18:30:00,2025-01-20 23:00:00,19,4.75,91.27,92.8678,99.5,below
SITE_L,availability_pct,2025-01-17 06:30:00,2025-01-17 11:00:00,19,4.75,91.469,94.2697,99.5,below
SITE_J,availability_pct,2025-01-11 03:15:00,2025-01-11 07:45:00,19,4.75,91.531,92.7524,99.5,below
SITE_L,availability_pct,2025-01-07 10:15:00,2025-01-07 14:45:00,19,4.75,91.64,92.8206,99.5,below
SITE_H,availability_pct,2025-01-03 04:45:00,2025-01-03 09:00:00,18,4.5,91.464,92.5086,99.5,below
SITE_G,availability_pct,2025-01-03 15:00:00,2025-01-03 19:15:00,18,4.5,91.083,92.3508,99.5,below
SITE_J,availability_pct,2025-01-28 03:45:00,2025-01-28 07:45:00,17,4.25,91.791,92.1236,99.5,below
SITE_A,availability_pct,2025-01-07 08:15:00,2025-01-07 12:15:00,17,4.25,91.451,91.9471,99.5,below
SITE_I,availability_pct,2025-01-14 13:45:00,2025-01-14 17:45:00,17,4.25,98.867,99.2694,99.5,below
SITE_K,availability_pct,2025-01-09 14:00:00,2025-01-09 17:45:00,16,4.0,91.457,93.3361,99.5,below
SITE_A,availability_pct,2025-01-08 17:00:00,2025-01-08 20:30:00,15,3.75,91.538,92.8758,99.5,below
SITE_K,availability_pct,2025-01-29 04:30:00,2025-01-29 08:00:00,15,3.75,91.606,94.9265,99.5,below
SITE_G,availability_pct,2025-01-23 01:00:00,2025-01-23 04:30:00,15,3.75,91.298,93.0296,99.5,below
SITE_F,availability_pct,2025-01-02 05:15:00,2025-01-02 08:30:00,14,3.5,91.657,92.5381,99.5,below
SITE_D,availability_pct,2025-01-16 15:30:00,2025-01-16 18:45:00,14,3.5,91.682,92.5706,99.5,below
SITE_B,availability_pct,2025-01-25 23:00:00,2025-01-26 02:15:00,14,3.5,91.423,94.5489,99.5,below
SITE_H,availability_pct,2025-01-20 16:15:00,2025-01-20 19:30:00,14,3.5,91.463,92.4304,99.5,below
SITE_J,availability_pct,2025-01-11 13:15:00,2025-01-11 16:30:00,14,3.5,91.158,92.4489,99.5,below
SITE_J,availability_pct,2025-01-23 03:15:00,2025-01-23 06:30:00,14,3.5,91.536,92.5341,99.5,below
SITE_G,availability_pct,2025-01-22 03:00:00,2025-01-22 06:15:00,14,3.5,91.423,92.571,99.5,below
SITE_G,availability_pct,2025-01-27 16:15:00,2025-01-27 19:15:00,13,3.25,91.733,92.064,99.5,below
SITE_G,availability_pct,2025-01-28 07:45:00,2025-01-28 10:45:00,13,3.25,98.873,99.2426,99.5,below
SITE_I,availability_pct,2025-01-15 01:00:00,2025-01-15 04:00:00,13,3.25,91.63,94.2368,99.5,below
SITE_B,availability_pct,2025-01-09 02:45:00,2025-01-09 05:45:00,13,3.25,98.859,99.2127,99.5,below
SITE_H,availability_pct,2025-01-15 09:15:00,2025-01-15 12:15:00,13,3.25,91.642,94.2655,99.5,below
SITE_J,availability_pct,2025-01-19 09:15:00,2025-01-19 12:15:00,13,3.25,91.367,91.9282,99.5,below
SITE_H,availability_pct,2025-01-16 23:15:00,2025-01-17 02:00:00,12,3.0,99.047,99.2465,99.5,below
SITE_H,availability_pct,2025-01-01 20:15:00,2025-01-01 23:00:00,12,3.0,98.886,99.2746,99.5,below
SITE_J,availability_pct,2025-01-13 04:30:00,2025-01-13 07:15:00,12,3.0,99.063,99.2898,99.5,below
SITE_J,availability_pct,2025-01-04 14:45:00,2025-01-04 17:30:00,12,3.0,91.168,93.8312,99.5,below
SITE_G,availability_pct,2025-01-08 18:45:00,2025-01-08 21:30:00,12,3.0,91.724,93.8203,99.5,below
SITE_A,availability_pct,2025-01-19 07:00:00,2025-01-19 09:30:00,11,2.75,98.787,99.2514,99.5,below
SITE_A,availability_pct,2025-01-14 01:00:00,2025-01-14 03:30:00,11,2.75,98.732,99.2893,99.5,below
SITE_G,availability_pct,2025-01-16 05:15:00,2025-01-16 07:45:00,11,2.75,99.003,99.3167,99.5,below
SITE_G,availability_pct,2025-01-16 15:30:00,2025-01-16 18:00:00,11,2.75,99.121,99.3187,99.5,below
SITE_A,availability_pct,2025-01-06 08:45:00,2025-01-06 11:15:00,11,2.75,98.83,99.2898,99.5,below
SITE_B,availability_pct,2025-01-22 09:15:00,2025-01-22 11:45:00,11,2.75,98.917,99.2234,99.5,below
SITE_G,availability_pct,2025-01-29 08:45:00,2025-01-29 11:15:00,11,2.75,98.64,99.1406,99.5,below
SITE_H,availability_pct,2025-01-23 09:30:00,2025-01-23 11:45:00,10,2.5,99.034,99.2789,99.5,below
SITE_G,availability_pct,2025-01-13 19:00:00,2025-01-13 21:15:00,10,2.5,91.704,92.7771,99.5,below
SITE_J,availability_pct,2025-01-01 18:30:00,2025-01-01 20:45:00,10,2.5,98.859,99.2601,99.5,below
SITE_C,availability_pct,2025-01-26 17:00:00,2025-01-26 19:15:00,10,2.5,99.123,99.3242,99.5,below
SITE_D,availability_pct,2025-01-13 08:45:00,2025-01-13 11:00:00,10,2.5,91.817,92.8237,99.5,below
SITE_D,availability_pct,2025-01-21 06:30:00,2025-01-21 08:45:00,10,2.5,91.701,95.5823,99.5,below
SITE_G,availability_pct,2025-01-24 05:30:00,2025-01-24 07:45:00,10,2.5,99.064,99.2558,99.5,below
SITE_A,availability_pct,2025-01-16 18:30:00,2025-01-16 20:45:00,10,2.5,98.923,99.252,99.5,below
SITE_A,availability_pct,2025-01-18 05:15:00,2025-01-18 07:30:00,10,2.5,91.397,92.5814,99.5,below
SITE_K,availability_pct,2025-01-02 16:00:00,2025-01-02 18:15:00,10,2.5,99.032,99.3055,99.5,below
SITE_A,availability_pct,2025-01-30 08:15:00,2025-01-30 10:15:00,9,2.25,99.277,99.3789,99.5,below
SITE_A,availability_pct,2025-01-11 12:45:00,2025-01-11 14:45:00,9,2.25,99.0,99.1809,99.5,below
SITE_K,availability_pct,2025-01-25 11:30:00,2025-01-25 13:30:00,9,2.25,98.987,99.2851,99.5,below
SITE_L,availability_pct,2025-01-09 00:30:00,2025-01-09 02:30:00,9,2.25,98.994,99.2377,99.5,below
SITE_F,availability_pct,2025-01-29 16:45:00,2025-01-29 18:45:00,9,2.25,99.0,99.2171,99.5,below
SITE_H,availability_pct,2025-01-17 02:30:00,2025-01-17 04:30:00,9,2.25,98.964,99.2253,99.5,below
SITE_I,availability_pct,2025-01-11 12:15:00,2025-01-11 14:15:00,9,2.25,98.981,99.3344,99.5,below
SITE_I,availability_pct,2025-01-13 04:30:00,2025-01-13 06:30:00,9,2.25,98.97,99.2254,99.5,below
SITE_I,availability_pct,2025-01-04 09:15:00,2025-01-04 11:15:00,9,2.25,98.859,99.209,99.5,below
SITE_F,availability_pct,2025-01-16 17:30:00,2025-01-16 19:30:00,9,2.25,99.005,99.2743,99.5,below
SITE_F,availability_pct,2025-01-15 21:45:00,2025-01-15 23:45:00,9,2.25,98.9,99.1979,99.5,below
SITE_A,availability_pct,2025-01-20 13:30:00,2025-01-20 15:30:00,9,2.25,99.073,99.3082,99.5,below
SITE_J,availability_pct,2025-01-09 08:15:00,2025-01-09 10:15:00,9,2.25,98.939,99.2163,99.5,below
SITE_J,availability_pct,2025-01-02 02:45:00,2025-01-02 04:45:00,9,2.25,99.041,99.2401,99.5,below
SITE_J,availability_pct,2025-01-06 20:30:00,2025-01-06 22:30:00,9,2.25,99.027,99.2376,99.5,below
